Gene_ID	Amelonado	Contamana	Criollo	Curaray	Guianna	Iquitos	Maranon	Nacional	Nanay	Purus	#_of_populations
Thecc1EG000815t1	0	0	0	0	1	0	0	0	1	0	2
Thecc1EG000816t1	0	0	0	0	1	0	0	0	1	0	2
Thecc1EG000817t2	0	0	0	0	1	0	0	0	1	0	2
Thecc1EG000839t1	0	1	0	0	1	0	0	0	0	0	2
Thecc1EG000840t2	0	1	0	0	1	0	0	0	0	0	2
Thecc1EG000842t1	0	1	0	0	1	0	0	0	0	0	2
Thecc1EG000843t1	0	1	0	0	1	0	0	0	0	0	2
Thecc1EG000844t1	0	1	0	0	1	0	0	0	0	0	2
Thecc1EG001530t1	0	1	0	1	0	0	0	0	0	0	2
Thecc1EG001531t1	0	1	0	1	0	0	0	0	0	0	2
Thecc1EG001532t1	0	1	0	1	0	0	0	0	0	0	2
Thecc1EG002089t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002090t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002091t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002092t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002098t2	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002099t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002102t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002106t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002110t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002111t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002116t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002118t2	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002121t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002122t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002134t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002136t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002137t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002139t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002140t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002141t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002142t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002143t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002144t4	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002145t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002146t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002147t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG002500t1	0	0	0	1	0	0	0	0	0	1	2
Thecc1EG002504t1	0	0	0	1	0	0	0	0	0	1	2
Thecc1EG002505t1	0	0	0	1	0	0	0	0	0	1	2
Thecc1EG004131t1	0	1	0	0	0	0	0	0	1	0	2
Thecc1EG004162t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG004163t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG004164t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG004165t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG004166t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG004168t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG004169t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG004170t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG004171t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG004172t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG004363t1	0	0	0	0	1	0	0	0	0	1	2
Thecc1EG004368t1	0	0	0	0	1	0	0	0	0	1	2
Thecc1EG004494t1	0	1	0	0	0	1	0	0	0	0	2
Thecc1EG004495t1	0	1	0	0	0	1	0	0	0	0	2
Thecc1EG004496t1	0	1	0	0	0	1	0	0	0	0	2
Thecc1EG004497t1	0	1	0	0	0	1	0	0	0	0	2
Thecc1EG004621t1	0	1	0	0	0	1	0	0	0	0	2
Thecc1EG005955t1	0	1	0	0	0	0	0	1	0	0	2
Thecc1EG006382t1	0	1	0	0	0	1	0	0	0	0	2
Thecc1EG006383t1	0	1	0	0	0	1	0	0	0	0	2
Thecc1EG006385t1	0	1	0	0	0	1	0	0	0	0	2
Thecc1EG006386t1	0	1	0	0	0	1	0	0	0	0	2
Thecc1EG006387t1	0	1	0	0	0	1	0	0	0	0	2
Thecc1EG007324t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007327t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007329t4	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007331t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007334t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007344t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007345t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007348t1	0	0	0	1	0	1	0	0	0	1	3
Thecc1EG007349t1	0	0	0	1	0	1	0	0	0	1	3
Thecc1EG007350t1	0	0	0	1	0	1	0	0	0	1	3
Thecc1EG007351t1	0	0	0	1	0	1	0	0	0	1	3
Thecc1EG007356t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007357t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007358t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007360t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007362t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007364t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007365t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007366t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007367t3	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007369t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007370t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007371t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007404t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007405t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007406t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007407t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007408t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007409t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007410t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007420t2	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007421t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007422t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007423t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007424t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007430t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007431t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007432t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007433t2	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007435t1	0	1	0	1	0	1	0	0	0	0	3
Thecc1EG007436t1	0	1	0	1	0	1	0	0	0	0	3
Thecc1EG007437t1	0	1	0	1	0	1	0	0	0	0	3
Thecc1EG007438t3	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007440t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007442t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007443t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007445t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007447t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007448t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007450t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007451t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007453t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007454t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007456t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007458t1	0	0	0	1	0	1	1	0	0	0	3
Thecc1EG007459t1	0	0	0	1	0	1	1	0	0	0	3
Thecc1EG007460t1	0	0	0	1	0	1	1	0	0	0	3
Thecc1EG007461t1	0	0	0	1	0	1	1	0	0	0	3
Thecc1EG007462t1	0	0	0	1	0	1	1	0	0	0	3
Thecc1EG007463t1	0	0	0	1	0	1	1	0	0	0	3
Thecc1EG007464t1	0	0	0	1	0	1	1	0	0	0	3
Thecc1EG007465t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007466t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007468t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007501t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007502t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007503t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007504t1	0	0	0	1	0	1	0	0	0	0	2
Thecc1EG007538t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007539t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007540t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007541t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007542t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007543t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007544t3	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007545t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007546t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007548t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007549t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007550t4	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007551t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007552t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007553t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007555t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007556t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007559t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007560t2	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007561t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007562t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007563t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007564t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007565t3	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007568t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007569t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007570t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007571t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007572t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007573t2	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007575t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007576t1	0	0	0	0	0	1	0	0	1	0	2
Thecc1EG007656t1	0	0	0	0	0	0	1	0	1	0	2
Thecc1EG007657t1	0	0	0	0	0	0	1	0	1	0	2
Thecc1EG007658t1	0	0	0	0	0	0	1	0	1	0	2
Thecc1EG007659t1	0	0	0	0	0	0	1	0	1	0	2
Thecc1EG007660t1	0	0	0	0	0	0	1	0	1	0	2
Thecc1EG009922t1	0	1	0	0	0	0	0	1	0	0	2
Thecc1EG009923t1	0	1	0	0	0	0	0	1	0	0	2
Thecc1EG009924t1	0	1	0	0	0	0	0	1	0	0	2
Thecc1EG010082t1	0	0	0	0	0	0	0	1	1	0	2
Thecc1EG010500t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010501t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010507t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010509t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010510t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010511t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010512t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010513t3	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010515t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010516t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010519t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010522t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010524t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010525t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010526t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010540t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010582t1	0	0	0	0	1	0	0	1	0	0	2
Thecc1EG010585t1	0	0	0	0	1	0	0	1	0	0	2
Thecc1EG010587t1	0	0	0	0	1	0	0	1	0	0	2
Thecc1EG010588t1	0	0	0	0	1	0	0	1	0	0	2
Thecc1EG010591t1	0	0	0	0	1	0	0	1	0	0	2
Thecc1EG010592t1	0	0	0	0	1	0	0	1	0	0	2
Thecc1EG010594t1	0	0	0	0	1	0	0	1	0	0	2
Thecc1EG010658t1	0	1	0	0	1	0	0	0	0	0	2
Thecc1EG010686t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010687t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010688t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010689t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010690t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010691t3	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010692t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010693t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010694t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010695t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010696t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010697t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010701t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010702t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010703t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010704t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010705t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010706t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010707t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010708t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010711t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010712t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010714t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010715t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010721t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010723t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010724t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010725t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010737t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010738t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010740t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010741t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010742t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010743t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010744t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010745t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010747t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010748t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010749t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010750t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010751t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010752t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010753t2	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010754t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010755t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010757t3	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010758t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010759t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010760t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010761t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010762t1	0	0	0	0	0	1	0	1	0	0	2
Thecc1EG010763t1	0	0	0	1	0	1	0	1	0	0	3
Thecc1EG010764t1	0	0	0	1	0	0	0	1	0	0	2
Thecc1EG010765t1	0	0	0	1	0	0	0	1	0	0	2
Thecc1EG010767t1	0	0	0	1	0	0	0	1	0	0	2
Thecc1EG010768t1	0	0	0	1	0	0	0	1	0	0	2
Thecc1EG010769t1	0	0	0	1	0	0	0	1	0	0	2
Thecc1EG010770t1	0	0	0	1	0	0	0	1	0	0	2
Thecc1EG010771t1	0	0	0	1	0	0	0	1	0	0	2
Thecc1EG010772t1	0	0	0	1	0	0	0	1	0	0	2
Thecc1EG010774t1	0	0	0	1	0	0	0	1	0	0	2
